timestamp,hpa,current_replicas,desired_replicas,current_cpu_utilization,target_cpu_utilization,able_to_scale,scaling_active,scaling_limited
2026-09-01T15:36:17+08:00,life-assistant-order-service,2,0,,60,True,False,
2026-09-01T15:36:17+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:36:34+08:00,life-assistant-merchant-service,5,5,55,50,True,True,False
2026-09-01T15:36:34+08:00,life-assistant-order-service,2,2,21,60,True,True,False
2026-09-01T15:36:34+08:00,life-assistant-api-gateway,1,1,8,60,True,True,False
2026-09-01T15:36:50+08:00,life-assistant-merchant-service,5,5,75,50,True,True,True
2026-09-01T15:36:50+08:00,life-assistant-order-service,2,4,102,60,True,True,False
2026-09-01T15:36:50+08:00,life-assistant-api-gateway,1,1,16,60,True,True,False
2026-09-01T15:37:09+08:00,life-assistant-merchant-service,5,5,50,50,True,True,False
2026-09-01T15:37:09+08:00,life-assistant-order-service,4,4,11,60,True,True,False
2026-09-01T15:37:09+08:00,life-assistant-api-gateway,1,1,9,60,True,True,False
2026-09-01T15:37:26+08:00,life-assistant-merchant-service,5,5,9,50,True,True,False
2026-09-01T15:37:26+08:00,life-assistant-order-service,4,4,14,60,True,True,False
2026-09-01T15:37:26+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:37:45+08:00,life-assistant-merchant-service,5,5,10,50,True,True,False
2026-09-01T15:37:45+08:00,life-assistant-order-service,4,4,12,60,True,True,False
2026-09-01T15:37:45+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:38:03+08:00,life-assistant-merchant-service,5,5,7,50,True,True,False
2026-09-01T15:38:03+08:00,life-assistant-order-service,4,4,16,60,True,True,False
2026-09-01T15:38:03+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:38:19+08:00,life-assistant-merchant-service,5,5,8,50,True,True,False
2026-09-01T15:38:19+08:00,life-assistant-order-service,4,4,39,60,True,True,False
2026-09-01T15:38:19+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:38:36+08:00,life-assistant-merchant-service,5,5,15,50,True,True,False
2026-09-01T15:38:36+08:00,life-assistant-order-service,4,4,8,60,True,True,False
2026-09-01T15:38:36+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:38:52+08:00,life-assistant-merchant-service,5,5,12,50,True,True,False
2026-09-01T15:38:52+08:00,life-assistant-order-service,4,4,8,60,True,True,False
2026-09-01T15:38:52+08:00,life-assistant-api-gateway,1,1,3,60,True,True,False
2026-09-01T15:39:08+08:00,life-assistant-merchant-service,5,5,6,50,True,True,False
2026-09-01T15:39:08+08:00,life-assistant-order-service,4,4,9,60,True,True,False
2026-09-01T15:39:08+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:39:25+08:00,life-assistant-merchant-service,5,5,6,50,True,True,False
2026-09-01T15:39:25+08:00,life-assistant-order-service,4,4,10,60,True,True,False
2026-09-01T15:39:25+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:39:42+08:00,life-assistant-merchant-service,5,5,10,50,True,True,False
2026-09-01T15:39:42+08:00,life-assistant-order-service,4,4,9,60,True,True,False
2026-09-01T15:39:42+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:39:58+08:00,life-assistant-merchant-service,5,5,13,50,True,True,False
2026-09-01T15:39:58+08:00,life-assistant-order-service,4,4,11,60,True,True,False
2026-09-01T15:39:58+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:40:15+08:00,life-assistant-merchant-service,5,5,7,50,True,True,False
2026-09-01T15:40:15+08:00,life-assistant-order-service,4,4,8,60,True,True,False
2026-09-01T15:40:15+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:40:31+08:00,life-assistant-merchant-service,5,5,7,50,True,True,False
2026-09-01T15:40:31+08:00,life-assistant-order-service,4,4,11,60,True,True,False
2026-09-01T15:40:31+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:40:47+08:00,life-assistant-merchant-service,5,5,6,50,True,True,False
2026-09-01T15:40:47+08:00,life-assistant-order-service,4,4,9,60,True,True,False
2026-09-01T15:40:47+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:41:04+08:00,life-assistant-merchant-service,5,5,7,50,True,True,False
2026-09-01T15:41:04+08:00,life-assistant-order-service,4,4,16,60,True,True,False
2026-09-01T15:41:04+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:41:20+08:00,life-assistant-merchant-service,5,5,8,50,True,True,False
2026-09-01T15:41:20+08:00,life-assistant-order-service,4,4,7,60,True,True,False
2026-09-01T15:41:20+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:41:37+08:00,life-assistant-merchant-service,5,5,7,50,True,True,False
2026-09-01T15:41:37+08:00,life-assistant-order-service,4,4,10,60,True,True,False
2026-09-01T15:41:37+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:41:53+08:00,life-assistant-merchant-service,5,5,6,50,True,True,False
2026-09-01T15:41:53+08:00,life-assistant-order-service,4,2,7,60,True,True,False
2026-09-01T15:41:53+08:00,life-assistant-api-gateway,1,1,4,60,True,True,False
2026-09-01T15:42:09+08:00,life-assistant-merchant-service,5,2,7,50,True,True,False
2026-09-01T15:42:09+08:00,life-assistant-order-service,2,2,8,60,True,True,False
2026-09-01T15:42:09+08:00,life-assistant-api-gateway,1,1,3,60,True,True,False
2026-09-01T15:42:26+08:00,life-assistant-merchant-service,2,2,7,50,True,True,False
2026-09-01T15:42:26+08:00,life-assistant-order-service,2,2,9,60,True,True,False
2026-09-01T15:42:26+08:00,life-assistant-api-gateway,1,1,5,60,True,True,False
2026-09-01T15:42:42+08:00,life-assistant-merchant-service,2,2,6,50,True,True,False
2026-09-01T15:42:42+08:00,life-assistant-order-service,2,2,7,60,True,True,False
2026-09-01T15:42:42+08:00,life-assistant-api-gateway,1,1,3,60,True,True,False
